previous_SSID,next_SSID,time,session_time,WMA
new-ssid-0,new-ssid-1,[10.0],[10.0],10.0
new-ssid-0,new-ssid-7,[10.0],[10.0],10.0
new-ssid-1,new-ssid-2,"[245.0, 401.0, 464.0, 564.0, 983.0, 1308.0, 1872.0, 2035.0]","[19.0, 98.0, 35.0, 58.0, 61.0, 60.0, 53.0, 23.0]","19.0, 26.900000000000002, 27.71, 30.739, 33.765100000000004, 36.38859000000001, 38.04973100000001, 36.54475790000001"
new-ssid-1,new-ssid-4,"[27.0, 2058.0, 2379.0]","[16.0, 90.0, 38.0]","16.0, 23.4, 24.86"
new-ssid-2,new-ssid-1,"[303.0, 429.0, 505.0, 1248.0, 1819.0, 1968.0]","[14.0, 28.0, 37.0, 22.0, 511.0, 25.0]","14.0, 15.4, 17.560000000000002, 18.004, 67.3036, 63.073240000000006"
new-ssid-2,new-ssid-3,"[226.0, 388.0, 1894.0, 2094.0, 2190.0]","[109.0, 27.0, 22.0, 58.0, 46.0]","109.0, 100.80000000000001, 92.92000000000002, 89.42800000000001, 85.0852"
new-ssid-2,new-ssid-5,"[279.0, 476.0, 577.0, 795.0, 998.0]","[33.0, 12.0, 13.0, 28.0, 15.0]","33.0, 30.9, 29.11, 28.999000000000002, 27.599100000000004"
new-ssid-3,new-ssid-2,"[1225.0, 2144.0]","[44.0, 46.0]","44.0, 44.2"
new-ssid-3,new-ssid-5,[2299.0],[108.0],108.0
new-ssid-3,new-ssid-6,"[237.0, 410.0, 847.0, 1922.0]","[11.0, 22.0, 49.0, 28.0]","11.0, 12.100000000000001, 15.790000000000003, 17.011000000000003"
new-ssid-4,new-ssid-1,"[226.0, 922.0, 2012.0, 2341.0]","[33.0, 26.0, 436.0, 19.0]","33.0, 32.3, 72.67, 67.30300000000001"
new-ssid-4,new-ssid-2,"[361.0, 767.0]","[23.0, 123.0]","23.0, 33.0"
new-ssid-4,new-ssid-5,"[18.0, 2082.0]","[2.0, 24.0]","2.0, 4.2"
new-ssid-4,new-ssid-7,"[51.0, 314.0, 681.0, 1114.0]","[24.0, 12.0, 9.0, 22.0]","24.0, 22.8, 21.419999999999998, 21.477999999999998"
new-ssid-5,new-ssid-2,"[117.0, 289.0, 468.0]","[99.0, 10.0, 12.0]","99.0, 90.10000000000001, 82.29"
new-ssid-5,new-ssid-3,"[798.0, 2098.0]","[2.0, 16.0]","2.0, 3.4000000000000004"
new-ssid-5,new-ssid-4,"[1092.0, 1576.0, 2322.0]","[28.0, 548.0, 23.0]","28.0, 80.0, 74.3"
new-ssid-5,new-ssid-6,"[485.0, 591.0, 1008.0, 1162.0]","[9.0, 14.0, 10.0, 1.0]","9.0, 9.5, 9.55, 8.695"
new-ssid-5,new-ssid-7,[271.0],[18.0],18.0
new-ssid-5,new-ssid-8,"[85.0, 569.0]","[12.0, 22.0]","12.0, 13.0"
new-ssid-6,new-ssid-2,[1943.0],[21.0],21.0
new-ssid-6,new-ssid-3,[1181.0],[19.0],19.0
new-ssid-6,new-ssid-5,"[253.0, 1064.0]","[16.0, 13.0]","16.0, 15.700000000000001"
new-ssid-6,new-ssid-9,"[420.0, 489.0, 521.0, 612.0, 860.0, 1020.0]","[9.0, 3.0, 8.0, 21.0, 13.0, 12.0]","9.0, 8.4, 8.360000000000001, 9.624, 9.9616, 10.16544"
new-ssid-7,new-ssid-1,[11.0],[1.0],1.0
new-ssid-7,new-ssid-4,"[16.0, 193.0, 302.0, 338.0, 672.0]","[5.0, 65.0, 31.0, 24.0, 28.0]","5.0, 11.0, 13.0, 14.100000000000001, 15.490000000000002"
new-ssid-7,new-ssid-5,[73.0],[22.0],22.0
new-ssid-7,new-ssid-8,"[611.0, 718.0, 1147.0]","[33.0, 37.0, 33.0]","33.0, 33.4, 33.36"
new-ssid-8,new-ssid-4,"[644.0, 895.0]","[17.0, 9.0]","17.0, 16.2"
new-ssid-8,new-ssid-5,[1161.0],[14.0],14.0
new-ssid-8,new-ssid-7,"[128.0, 578.0, 644.0]","[35.0, 9.0, 33.0]","35.0, 32.4, 32.46"
new-ssid-8,new-ssid-9,[747.0],[29.0],29.0
new-ssid-9,new-ssid-1,[506.0],[1.0],1.0
new-ssid-9,new-ssid-2,"[246.0, 1226.0, 2036.0]","[1.0, 1.0, 1.0]","1.0, 1.0, 1.0"
new-ssid-9,new-ssid-3,[2191.0],[1.0],1.0
new-ssid-9,new-ssid-4,[896.0],[1.0],1.0
new-ssid-9,new-ssid-5,"[455.0, 456.0, 547.0, 796.0, 1028.0]","[35.0, 1.0, 26.0, 1.0, 281.0]","35.0, 31.6, 31.040000000000003, 28.036000000000005, 53.33240000000001"
new-ssid-9,new-ssid-6,"[411.0, 486.0, 513.0, 1051.0]","[1.0, 1.0, 24.0, 31.0]","1.0, 1.0, 3.3000000000000003, 6.07"
new-ssid-9,new-ssid-8,"[93.0, 627.0, 886.0]","[7.0, 15.0, 26.0]","7.0, 7.8, 9.62"
rsu7,new-ssid-7,[11.0],[1.0],1.0
rsu8,new-ssid-9,[86.0],[1.0],1.0
